InternKrz|StatistikKrz|Bezeichnung|BezeichnungZeugnis|BezeichnungÜZeugnis|Unterrichtsprache|Sortierung S1|Sortierung S2|Gewichtung
AG Kunst|KU|AG Kunst|AG Kunst|AG Kunst||850|790|1
AG Medienscouts|IF|AG Medienscouts|AG Medienscouts|AG Medienscouts||860|560|1
AG Medienwerkstatt|IF|AG Medienwerkstatt|AG Medienwerkstatt|AG Medienwerkstatt||870|700|1
AG Musik|MU|AG Musik|AG Musik|AG Musik||880|800|1
AG Nacharbeit|PA|AG Nacharbeits|AG Nacharbeit|AG Nacharbeit||890|810|1
AG Naturwissenschaft|BI|AG Naturwissenschaft|AG Naturwissenschaft|AG Naturwissenschaft||900|950|1
AG Orchester|MU|AG Orchester|AG Orchester|AG Orchester||910|820|1
AG Pausenaufsicht|PA|AG Pausenaufsicht|AG Pausenaufsicht|AG Pausenaufsicht||920|830|1
AG Pausensport|SP|AG Pausensport|AG Pausenaufsicht|AG Pausenaufsicht||930|840|1
AG Polnisch|P|AG Polnisch|AG Polnisch|AG Polnisch||940|710|1
AG SoR|PK|AG Schule ohne Rassismus|AG Schule ohne Rassismus|AG Schule ohne Rassismus||950|600|1
AG Rechtskunde|RK|AG Rechtskunde|AG Rechtskunde|AG Rechtskunde||960|850|1
AG Rock|MU|AG Rock|AG Rock|AG Rock||970|860|1
AG Rugby|SP|AG Rugby|AG Rugby|AG Rugby||980|550|1
AG Sani|BI|AG Schulsanitätsdienst|Schulsanitätsdienst|Schulsanitätsdienst||990|690|1
AG Schülerzeitung|D|AG Schülerzeitung|AG Schülerzeitung|AG Schülerzeitung||1000|870|1
AG Singkreis|MU|AG Singkreis|AG Singkreis|AG Singkreis||1010|880|1
AG Streitschlichtung|PA|AG Streitschlichtung|AG Streitschlichtung|AG Streitschlichtung||1020|890|1
AG Tanz|SP|AG Tanz|AG Tanz|AG Tanz||1030|910|1
AG Tea Time|E|AG Tea Time|AG Tea Time|AG Tea Time||1040|530|1
AG Tea-Time|E|AG Tea-Time|AG Tea-Time|AG Tea-Time||1050|590|1
AG Theater|D|AG Theater|AG Theater|AG Theater||1060|920|1
AG Tischtennis|SP|AG Tischtennis|AG Tischtennis|AG Tischtennis||1070|480|1
AG Tonstudio|MU|AG Tonstudio|AG Tonstudio|AG Tonstudio||1080|460|1
AG Volleyball|SP|AG Volleyball|AG Volleyball|AG Volleyball||1090|720|1
AG Digitale Foto|KU|AG Digitale Fotografie|AG Digitale Fotografie|AG Digitale Fotografie||1100|940|1
AG Kreativ|KU|AG Kreativ|AG Kreativ|AG Kreativ||1110|1230|1
AG Technik|MU|AG Technik|AG Technik|AG Technik||1120|1220|1
HSU Albanisch|LM|HSU Albanisch|HSU Albanisch|HSU Albanisch||1130|970|1
HSU Arabisch|AM|HSU Arabisch|HSU Arabisch|HSU Arabisch||1140|960|1
HSU Griechisch|GM|HSU Griechisch|HSU Griechisch|HSU Griechisch||1150|990|1
HSU Italienisch|IM|HSU Italienisch|HSU Italienisch|HSU Italienisch||1160|1020|1
HSU Polnisch|PM|HSU Polnisch|HSU Polnisch|HSU Polnisch||1170|1000|1
HSU Kroatisch|CM|HSU Kroatisch|HSU Kroatisch|HSU Kroatisch||1180|1330|1
HSU Russisch|RM|HSU Russisch|HSU Russisch|HSU Russisch||1190|1030|1
HSU Spanisch|SM|HSU Spanisch|HSU Spanisch|HSU Spanisch||1200|1010|1
HSU Türkisch|TM|HSU Türkisch|HSU Türkisch|HSU Türkisch||1210|980|1
NH|NH|Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch|Polnisch|Polnisch||1220|1320|1
RH|RH|Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch|Arabisch|Arabisch||1230|1340|1
I|I|Italienisch|Italienisch|Italienisch|D|1240|440|1
F|F|Französisch|Französisch|Französisch|D|1260|420|1
L|L|Lateinisch|Lateinisch|Lateinisch|D|1270|430|1
FUD|D|Förderunterricht Deutsch|Förderunterricht Deutsch|Förderunterricht Deutsch||1280|1040|1
FUE|RK|Förderunterricht Englisch|Förderunterricht Englisch|Förderunterricht Englisch||1290|1050|1
FUF|F|Förderunterricht Französisch|Förderunterricht Französisch|Förderunterricht Französisch||1300|1060|1
FUL|L|Förderunterricht Latein|Förderunterricht Latein|Förderunterricht Latein||1310|1070|1
FUM|M|Förderunterricht Mathematik|Förderunterricht Mathematik|Förderunterricht Mathematik||1320|1080|1
A|A|Arabisch|Arabisch|Arabisch||1330|1250|1
R6|R6|Russisch|Russisch|Russisch||1340|1260|1
Dari|XM|Dari|Dari|Dari||1350|1270|1
